"Date","Open","High","Low","Close"
"14 Aug 2020","31763.35","31828.80","31115.50","31237.95"
"13 Aug 2020","31680.80","31867.80","31441.10","31668.15"
"12 Aug 2020","31690.30","31723.45","31537.90","31636.70"
"11 Aug 2020","31730.10","32155.50","31725.60","31767.75"
"10 Aug 2020","31597.05","31791.70","31584.65","31621.75"
"07 Aug 2020","31329.65","31597.00","31209.00","31490.60"
"06 Aug 2020","31010.25","31326.85","30926.25","31287.60"
"05 Aug 2020","31050.30","31090.10","30728.50","30863.60"
"04 Aug 2020","30903.50","31059.45","30782.85","30901.65"
"03 Aug 2020","30892.80","30985.00","30674.45","30759.80"
"31 Jul 2020","30734.80","31032.55","30677.65","30872.45"
"30 Jul 2020","31104.45","31134.55","30582.75","30696.40"
"29 Jul 2020","30818.10","31139.75","30816.40","30948.50"
"28 Jul 2020","30891.00","31047.10","30764.30","30910.90"
"27 Jul 2020","31129.45","31183.15","30708.20","30819.75"
"24 Jul 2020","31009.95","31138.55","30653.40","31018.85"
"23 Jul 2020","31177.90","31326.45","31052.40","31101.90"
"22 Jul 2020","31420.85","31422.30","30946.35","31051.60"
"21 Jul 2020","31626.80","31708.00","31240.90","31280.25"
"20 Jul 2020","31571.40","31598.60","31284.05","31536.35"
"17 Jul 2020","31217.30","31528.40","31191.50","31439.30"
"16 Jul 2020","31195.15","31246.20","30633.70","31182.35"
"15 Jul 2020","31038.10","31236.45","30978.30","31140.45"
"14 Jul 2020","31192.35","31305.65","30848.30","30932.85"
"13 Jul 2020","31011.90","31283.15","30977.15","31214.90"
"10 Jul 2020","30618.20","30860.55","30575.75","30821.15"
"09 Jul 2020","30785.70","30891.40","30581.45","30671.75"
"08 Jul 2020","30574.25","30919.10","30402.75","30773.90"
"07 Jul 2020","30772.85","30797.25","30420.75","30518.20"
"06 Jul 2020","30724.80","30736.50","30566.60","30647.65"
"03 Jul 2020","30501.95","30632.30","30428.35","30529.10"
"02 Jul 2020","30352.50","30399.70","30136.50","30316.20"
"01 Jul 2020","30093.90","30286.10","29983.65","30232.50"
"30 Jun 2020","30170.45","30219.80","30019.75","30063.25"
"29 Jun 2020","30035.30","30168.35","29820.20","29971.65"
"26 Jun 2020","30369.75","30505.15","29655.50","29757.05"
"25 Jun 2020","29378.25","30174.60","29338.35","30113.25"
"24 Jun 2020","29568.20","29942.70","29433.60","29487.40"
"23 Jun 2020","28993.35","29452.05","28923.05","29355.20"
"22 Jun 2020","28961.05","29058.20","28718.95","28865.45"
"19 Jun 2020","28784.10","28816.85","28592.45","28709.45"
"18 Jun 2020","28402.30","28730.20","28393.80","28648.70"
"17 Jun 2020","28517.90","28673.85","28384.70","28431.75"
"16 Jun 2020","29081.20","29103.30","28349.00","28575.35"
"15 Jun 2020","29187.50","29215.85","28591.15","28701.80"
"12 Jun 2020","28356.65","29227.25","28319.10","29145.60"
"11 Jun 2020","29552.10","29698.95","29045.65","29092.45"
"10 Jun 2020","29645.20","29770.75","29379.90","29503.20"
"09 Jun 2020","29507.25","30117.65","29455.05","29524.90"
"08 Jun 2020","29891.30","29891.30","29447.55","29502.15"
"05 Jun 2020","29789.35","29802.75","29428.25","29542.00"
"04 Jun 2020","29573.25","29725.15","29311.30","29621.55"
"03 Jun 2020","29704.10","29887.80","29431.50","29527.00"
"02 Jun 2020","29751.55","29752.05","29326.20","29359.85"
"01 Jun 2020","29579.45","30023.35","29483.50","29571.30"
"29 May 2020","28374.75","29384.90","28297.90","29296.95"
"28 May 2020","28223.10","28524.25","28096.75","28451.60"
"27 May 2020","28226.25","28296.10","27742.25","28222.40"
"26 May 2020","28071.70","28403.75","27957.60","28122.30"
"22 May 2020","27843.25","28051.25","27658.10","27786.10"
"21 May 2020","27366.50","27967.00","27207.45","27887.10"
"20 May 2020","26995.10","27428.25","26935.65","27290.35"
"19 May 2020","26895.20","26987.65","26731.45","26895.75"
"18 May 2020","27057.50","27092.50","26653.95","26694.65"
"15 May 2020","26969.40","27028.95","26795.85","26958.65"
"14 May 2020","26618.10","27090.80","26587.00","26933.65"
"13 May 2020","27761.90","27765.90","26680.75","26746.50"
"12 May 2020","26571.05","26913.65","26321.90","26857.15"
"11 May 2020","26895.65","27149.05","26608.20","26667.80"
"08 May 2020","26809.40","26809.40","26598.05","26759.80"
